Data|Produto|Saldo bruto|Descrição
08/05/2020|LREN3 - LOJAS RENNER|0,04|Dividendos
19/08/2020|MGLU3 - MAGAZ LUIZA|0,06|Juros sobre capital
25/08/2020|XPML11 - FII XP MALLS|0,09|Rendimentos
20/02/2020|KLBN4 - KLABIN S/A|0,09|Dividendos
29/11/2019|COGN3 - COGNA ON|0,1|Dividendos
03/03/2021|BBAS3 - BRASIL|0,13|Rendimentos
05/11/2020|RENT3 - LOCALIZA|0,15|Juros sobre capital
15/10/2020|RENT3 - LOCALIZA|0,15|Juros sobre capital
15/09/2020|RENT3 - LOCALIZA|0,15|Juros sobre capital
31/08/2020|BBAS3 - BRASIL|0,16|Rendimentos
14/02/2020|RENT3 - LOCALIZA|0,17|Juros sobre capital
14/08/2020|VISC11 - FII VINCI SC|0,18|Rendimentos
14/07/2020|VISC11 - FII VINCI SC|0,19|Rendimentos
11/02/2021|AAPL - Apple Inc.|0,2|Dividendos
15/10/2020|VISC11 - FII VINCI SC|0,2|Rendimentos
15/09/2020|HGBS11 - FII CSHGSHOP|0,25|Rendimentos
14/08/2020|HGBS11 - FII CSHGSHOP|0,25|Rendimentos
25/06/2020|XPML11 - FII XP MALLS|0,27|Rendimentos
15/10/2020|HGBS11 - FII CSHGSHOP|0,3|Rendimentos
19/08/2020|MGLU3 - MAGAZ LUIZA|0,3|Juros sobre capital
14/07/2020|HGBS11 - FII CSHGSHOP|0,35|Rendimentos
25/11/2020|ALZR11 - FII ALIANZA|0,37|Rendimentos
23/12/2020|ALZR11 - FII ALIANZA|0,38|Rendimentos
16/11/2020|VISC11 - FII VINCI SC|0,38|Rendimentos
16/11/2020|HGBS11 - FII CSHGSHOP|0,4|Rendimentos
24/07/2020|XPML11 - FII XP MALLS|0,42|Rendimentos
14/07/2020|BRCR11 - FII BC FUND|0,43|Rendimentos
15/06/2020|BRCR11 - FII BC FUND|0,43|Rendimentos
28/12/2020|TAEE4 - TAESA|0,45|Juros sobre capital
14/12/2020|VISC11 - FII VINCI SC|0,45|Rendimentos
15/10/2020|BRCR11 - FII BC FUND|0,45|Rendimentos
14/08/2020|BRCR11 - FII BC FUND|0,46|Rendimentos
